AIR TEMP,RELATIVE HUMIDITY,SOIL TEMP,WIND SPEED,WIND MAGNITUDE,WIND DIRECTION,WIND SD,RAD FLUX,PRECIP
36.5,54.6,31.3,8.7,8.2,360,18.8,359.5,0
37.6,53.7,31.4,9.5,8.9,338,20.8,414.6,0
37.8,54.6,31.5,10.5,10.1,319,16.1,202.1,0
37.9,56.7,31.5,10.8,10.6,324,10.2,86,0
37.9,57.8,31.6,7.2,6.7,346,22.1,49.5,0
36.3,62.3,31.6,4.1,4,347,13.5,4.2,0
34.4,69.1,31.6,4.6,4.5,353,13.1,0,0
30.4,78.1,31.6,1.5,1,272,45.8,0,0
25.7,89.2,31.7,2.3,2,235,28.5,0,0
25.4,90,31.7,3.7,3.6,252,15.3,0,0
30,86.8,31.7,6.1,5.9,290,13.2,0,0
31.7,83.7,31.7,8.4,8.3,298,10.6,0,0
30.5,87,31.7,8.6,8.5,329,10.6,0,0
28.7,87.6,31.7,7,6.5,2,21.2,0,0
26.7,89.9,31.7,9.2,9,351,13.4,0,0
23.5,90,31.7,8,7.9,343,9.5,0,0
18.9,93.6,31.7,4.1,4.1,314,11.9,0,0
16.9,94.4,31.7,3.6,3.5,301,17.9,0,0
17.3,93.7,31.7,5.1,4.9,304,12,0,0
17.2,94.9,31.7,3.1,2.7,219,29.1,0.6,0
21,94.7,31.7,6.3,6.2,238,9.9,19.7,0
23.2,95.1,31.6,5.4,2.7,297,56.7,12.9,0
20.9,96.2,31.5,12.5,11.9,1,17.8,112,0
17.6,93.3,31.5,12.5,11.9,359,17.9,423.2,0
16.2,90.7,31.5,15.5,15.1,354,13,470.9,0
16.6,78.5,31.5,17.3,17.1,331,8.9,556.2,0
16.9,69,31.5,19.8,19.6,324,7.6,484.4,0
17.4,63.5,31.6,15.9,15.7,320,8.6,371.1,0
17.1,59.6,31.6,16.7,16.6,322,7.5,220.4,0
15.7,61.3,31.6,11.2,11.1,317,6.8,57.8,0
7.3,73.6,31.6,4.8,4.7,318,12.9,0,0
5.5,74.5,31.6,5.6,5.5,319,9.1,0,0
5.9,73,31.6,6.3,6.3,310,6.3,0,0
7.5,70.3,31.6,8.8,8.7,299,7.9,0,0
10.1,67,31.6,9.7,9.6,299,8.5,0,0
10.1,67.1,31.6,10.1,10,304,6.9,0,0
11.5,61,31.6,13.5,13.4,307,7.8,0,0
10.3,61.4,31.7,13.7,13.6,308,7.4,0,0
9.2,62.8,31.7,12.9,12.8,306,6.8,0,0
8.3,63.9,31.7,13.5,13.3,310,8.3,0,0
7.3,67.1,31.7,14.9,14.7,323,8,0,0
5.9,70.6,31.7,14,14,328,5.8,0,0
4,73.6,31.7,11.2,11.1,331,6.4,0,0
2.5,76,31.7,9,8.9,340,7.9,12.2,0
5.4,72.2,31.7,9.2,9.2,345,7.4,154.2,0
8.3,71.3,31.7,10.7,10.5,339,8.2,316.5,0
10.1,68.5,31.7,11.7,11.6,342,8.6,449.4,0
11.3,66.2,31.7,14.2,14,335,8.4,538.4,0
12.7,63.7,31.7,15.6,15.4,329,8.2,576.7,0
14,61.3,31.7,15.2,15,330,8.5,560,0
15.5,57,31.7,16.2,16,330,7.6,490.4,0
16.4,53.8,31.7,15.5,15.4,331,6.8,373.3,0
17,54.1,31.7,13,12.9,337,6.8,222.5,0
15.3,58.3,31.7,9.1,9.1,338,6,60.5,0
10,66.2,31.7,6.8,6.8,353,7.1,0,0
4.5,74.3,31.7,3.6,3.1,328,30.4,0,0
8,77.2,31.7,3.2,2.7,323,32.2,0,0
11.3,72.6,31.7,4,3.9,344,16.4,0,0
11.8,73,31.7,2.4,2.2,353,22.7,0,0
12,69.5,31.7,1.8,1.3,80,39.1,0,0
11.6,69.1,31.7,2.5,1.8,90,44.8,0,0
11.6,69.2,31.7,3.3,2.2,134,46.5,0,0
12.2,67.1,31.7,6.5,6.3,163,14,0,0
12.3,67.8,31.7,6.3,5.7,144,24.2,0,0
13,67.7,31.7,9.1,9,174,8.6,0,0
13.5,67.7,31.7,8.7,8.6,159,8.9,0,0
13.5,69.4,31.7,8.4,8.3,146,9.7,0,0
13.5,71.3,31.7,8.5,8.4,144,10.1,8.2,0
14.4,71.7,31.7,9.8,9.6,141,10.2,71.4,0
15.6,71.4,31.7,10.1,10,141,10.7,135.4,0
17,72.4,31.7,12.1,12,145,9.7,201.9,0
18.3,69.6,31.7,13.2,12.9,139,10.7,322.1,0
19.1,68.5,31.7,12.9,12.6,134,11.6,325.2,0
19.3,69.6,31.7,14.8,14.5,139,10.3,283,0
20.6,70.3,31.7,14.2,14,146,9.7,363.6,0
21.7,69.3,31.7,14.2,14,149,8.7,366,0
21.4,70.5,31.7,13.6,13.4,143,10.1,200.5,0
20.4,72.6,31.7,11.8,11.6,143,10.3,54.8,0
17.9,76.2,31.7,7.9,7.7,141,11.5,0,0
14.6,80.5,31.7,4.6,4.5,125,14.8,0,0
11.9,84.8,31.7,6.2,6.1,134,12.2,0,0
12,83.4,31.7,7.9,7.8,144,9.7,0,0
10.3,86.4,31.7,6.1,6,150,9.1,0,0
13,85.8,31.7,9.5,9.5,164,7,0,0
15.1,84.6,31.7,9.7,9.7,177,6.2,0,0
14.9,84.8,31.7,10.1,10,182,6.5,0,0
14.8,84.7,31.7,8.2,8.2,184,6.2,0,0
17.1,84.2,31.7,6.7,6.6,197,7.2,0,0
19.6,82.7,31.7,6.8,6.7,196,8.3,0,0
21,79.2,31.7,5.9,5.4,215,24.7,0,0
21.1,81.2,31.7,4.8,4.6,217,18.7,0,0
22,81.3,31.7,5.8,5.7,204,8.2,6,0
23.4,78.9,31.7,6,5.9,206,8.5,90,0
27.5,70.6,31.7,6.9,6.7,209,12.3,305,0
31.5,65.8,31.7,6.2,6.1,225,11,326.5,0
35.8,61.5,31.7,5.1,5,210,13.3,311.8,0
40.9,55.7,31.7,2,1.8,201,27.2,330.5,0
42.8,56.9,31.7,2.5,2.2,94,28.8,354.6,0
43.8,59.9,31.7,3.3,2.8,113,32,402.8,0
43.3,63.3,31.7,3.1,2.8,89,24.5,196.2,0
42.7,66.9,31.8,1.5,0.8,21,56.6,45.6,0
39.7,75.4,31.8,1.6,1.3,96,31.7,3.2,0
36.9,81,31.8,1.6,1.4,132,23.2,0,0
35,85.9,31.8,2.3,2.1,229,23.3,0,0
34.9,86.5,31.8,3.2,3,292,18.1,0,0
34.5,87.5,31.8,4.2,3.9,242,18.4,0,0
34.2,86.4,31.8,5.4,5.2,254,14.1,0,0
34.9,84.7,31.8,5.8,5.7,250,12.3,0,0
35.9,82.9,31.8,6.5,6.2,282,18.3,0,0
37.4,81.1,31.8,8.9,8.8,293,7.5,0,0
36.1,85.4,31.8,9.9,9.6,319,15.3,0,0
33.9,90.3,31.8,9.6,9.6,335,6,0,0
31.8,94.2,31.8,6.1,6,329,7.8,0,0
29.8,95.4,31.8,5.4,5.3,328,8,0,0
27.9,97.6,31.8,5,5,304,6.5,0,0
28.3,96.2,31.8,5,5,305,8,22.7,0
32.5,91.3,31.8,7.9,7.7,308,11.8,170.6,0
36.8,82.4,31.8,11.4,11.3,337,10,316.9,0
39.8,75.3,31.8,15,14.8,350,8.4,419.1,0
41.9,68.6,31.8,10,9.6,359,16.8,534.8,0
42,66.9,31.8,13.5,13.1,355,14.6,372.7,0
37.3,77.6,31.8,13.2,12.5,3,18.4,408.6,0
36.2,73.4,31.8,11.7,11,5,19.6,396.5,0
35.5,66.6,31.8,12.8,12.4,358,14.7,226.4,0
33,63.8,31.8,12.1,11.7,357,15,131.8,0
30,64.7,31.8,9.8,9.4,1,17.9,21.9,0
27.9,64.7,31.8,9.4,8.7,7,21.8,0,0
25.1,66.8,31.8,9.9,9.4,23,17.6,0,0
22.9,69.3,31.8,10.8,10.5,33,14.1,0,0
22.1,68,31.8,10.7,10.4,28,14.5,0,0
21,69,31.8,9.9,9.3,17,19.5,0,0
19.9,69.5,31.8,10.1,9.5,10,21,0,0
17.8,69.6,31.8,10.9,10.4,22,17.5,0,0
16.6,65.6,31.8,9.7,9,7,22.1,0,0
15.3,79.8,31.8,8.5,8,5,19.6,0,0
14.7,83,31.8,7.2,6.8,12,20.8,0,0
15.2,74.2,31.8,8.8,8.5,358,15.5,0,0
15,67.8,31.8,11.6,11.3,357,12.2,0,0
14.5,66.9,31.8,10.1,9.6,3,17.7,0,0
13.9,65.1,31.8,8.4,7.8,6,20.9,1,0
13.6,61.6,31.8,12.3,11.9,357,13.4,35.4,0
13.9,61,31.8,13.6,13.3,351,11.9,102.8,0
14.4,54.3,31.9,14.8,14.5,353,11.5,190.9,0
15.5,50,31.9,14.1,13.9,352,11.6,271.6,0
17.3,43.9,31.9,14.8,14.4,349,13.8,426.6,0
18.9,37.7,31.9,15.4,14.9,353,14.2,532.8,0
19.6,34.9,31.9,14.2,13.7,354,15.3,493.2,0
18.9,34.1,31.9,12.9,12.3,356,17.3,320.4,0
18.2,33.9,31.9,10.1,9.5,5,19.9,188.1,0
16.3,36.3,31.9,8.8,8.3,2,18.8,51.3,0
13.7,43.2,31.9,5.8,5.4,18,20.1,0,0
12,49.1,31.9,6.4,6.2,30,12.4,0,0
9.9,53.8,31.9,6.5,6.3,40,15.2,0,0
8,55.6,31.9,6.6,6.5,49,12.6,0,0
7.3,59.5,31.9,6.1,5.9,50,12.4,0,0
7,58.2,31.9,6.8,6.6,51,11.8,0,0
5.1,67.5,31.9,4.6,4.6,53,10.8,0,0
3.6,67.4,31.9,5.5,5.4,53,9.9,0,0
2.6,68.6,31.9,4.1,4,54,14.9,0,0
0.4,78.4,31.9,1.2,0.7,201,51.2,0,0
-0.4,82.3,31.9,1.3,0.9,306,45.4,0,0
-0.3,77,31.9,1.2,0.5,31,60.5,0,0
-0.6,75.3,31.9,2.1,1.4,177,46.6,0,0
-0.6,81,31.9,4.1,4,208,7.3,21.9,0
5,68,31.9,6.4,6.2,199,14.4,186.1,0
8.9,60.8,31.9,9.2,9,214,13.3,333.9,0
13,52.3,31.9,8.2,7.8,221,18.1,468.9,0
17.2,45,31.9,8.2,7.7,227,19.7,551.9,0
21.2,42.1,31.9,8.6,7.7,240,25.7,585.6,0
23.7,39.7,31.9,10.2,9.7,224,17.9,569.3,0
26,37.9,31.9,11.4,10.9,222,17.5,502,0
26.8,37,31.9,12.2,11.8,225,13.1,388.2,0
27.1,36.8,31.9,11.6,11.4,229,11.7,236.5,0
26,41.7,32,11.8,11.6,228,10.3,73.7,0
22.1,53.1,32,8.5,8.4,221,8.9,0,0
17.6,66.1,32,5.8,5.6,215,12,0,0
15.2,74.2,32,5.5,5.4,223,9.8,0,0
15.6,75.9,32,10.3,10.2,219,9.5,0,0
17.2,75.3,32,14.4,14.3,226,7.8,0,0
16.7,78,32,14.4,14.3,233,7.3,0,0
16.1,79.8,32,13.8,13.7,234,7.6,0,0
15.4,80.4,32,12.5,12.4,238,7.6,0,0
14.8,80.6,32,11.5,11.4,239,7.9,0,0
14.4,80.4,32,12.1,11.8,247,11.3,0,0
13.6,81.8,32,11.6,11.4,249,11.5,0,0
13.8,82.7,32,9.6,9.3,254,15.5,0,0
17.1,78.5,32,9.1,8.9,282,12.4,0,0
20.8,72.7,32,10.5,10.4,292,7.6,24.6,0
28.3,62.7,32,12.5,12.3,298,8.4,176.9,0
37,54.3,32,16.4,16.1,326,10.9,337.6,0
40.5,49.6,32,18.7,18.5,337,9.2,467.5,0
43.6,44.4,32,15.8,15.4,339,12.2,554.4,0
46.1,40.4,32,12.9,12.5,342,13.5,592,0
48.3,37.1,32,13.4,13.1,339,13.1,574.8,0
49.9,34.6,32,12.4,12,342,14,504.7,0
50.4,33.7,32,11.6,11.3,344,13.6,387.9,0
49.7,34.4,32,9.8,9.6,339,13.8,236.4,0
47.6,38.8,32,5.9,5.8,348,11.5,74.7,0
41.7,48.7,32,1.6,1.2,52,43.5,0,0
34.4,62.5,32,2.8,2.6,156,19.7,0,0
30.4,72.5,32,4.2,4.1,177,15.1,0,0
28.3,78.1,32,5.9,5.8,186,5.2,0,0
27.8,79.4,32,6.4,6.4,187,6.2,0,0
28.4,80.1,32,6.6,6.6,195,6.1,0,0
28.5,80.3,32,6.7,6.6,195,6.7,0,0
28.3,80.9,32,6.7,6.6,194,7.3,0,0
29.6,78.1,32,8.1,8,195,8.7,0,0
29.2,78.3,32,7.4,7.3,204,10.9,0,0
28.6,83.4,32,7.5,7.4,206,9.3,0,0
30.2,81.9,32,8.5,8.4,222,8.2,0,0
30.3,80.3,32,9,8.9,226,7.8,0,0
29.6,81.3,32,8.5,8.2,228,13.3,18.6,0
34.6,69.5,32,10.2,9.9,244,14.1,100.3,0
38.8,60.7,32,8.9,8.4,272,19.7,223.9,0
42.6,63.4,32,9,8.8,305,11.4,101.7,0
43.1,67.3,32,19.1,18.8,344,8.9,202.6,0
35.7,87.6,32,21.9,21.7,349,8.3,143.9,0
34,83.1,32,22.4,22.1,353,10.3,158.4,0
31.9,74.6,32,24.5,24.1,354,9.2,207.3,0
28.6,73.3,32,20.8,20.4,356,12.4,129,0
24.6,76.2,32,21,20.5,356,11.7,63.5,0
22.4,77.1,32,17.3,16.9,357,13.3,8.1,0
20.4,77.2,32,19.8,19.5,356,10.3,0,0
18.7,74.1,32,16.4,15.8,359,16.4,0,0
17.1,75.1,32,14.2,13.5,1,18.2,0,0
15.9,76.5,32,15.4,15,357,13,0,0
13.8,75.4,32,19.3,19.1,354,8.4,0,0
11.3,76.9,32,17,16.7,354,11.8,0,0
10.1,70.7,32,19.8,19.6,354,9.3,0,0
8.9,67.6,32,20.5,20.3,354,8.2,0,0
7.3,67.4,31.9,18.1,17.9,353,8.8,0,0
6.3,71.7,31.9,17,16.8,354,8,0,0
5.8,73,31.7,17.3,17.1,354,8.6,0,0
4.3,71.6,31.4,18.5,18.3,353,7.7,0,0
2.6,70.6,30.8,17.5,17.3,351,9.2,0,0
1.5,70.9,30.1,16.6,16.4,354,9,32.6,0
3.4,67.5,29.3,16.2,15.8,354,11.2,194,0
6.2,61.7,28.8,17.1,16.8,354,10.6,357.8,0
9.2,55.7,29.1,15.5,15,354,15.1,489.8,0
11.8,50,29.8,12.3,11.6,1,19.4,577.7,0
13.7,45.1,30.4,13.6,13,355,15.8,614.9,0
15.7,39.9,30.7,12.6,12,355,17.5,597.4,0
16.8,37,30.9,11.2,10.5,355,19.6,526.2,0
17.5,35.4,31.1,11,10.4,356,18.9,408.8,0
17.2,35.9,31.2,9.1,8.5,4,21,254.4,0
15.4,41.7,31.3,8.6,8.1,4,19.5,86.9,0
11.2,53.7,31.3,5.8,5.5,24,15.7,0.2,0
6.6,66,31.4,3.1,3,33,13.3,0,0
4.8,71.7,31.4,3.9,3.8,39,11.7,0,0
2.9,76.5,31.2,2.4,2.2,20,23.5,0,0
1.6,79.3,30.6,1.7,1.4,353,37.1,0,0
-1.5,82.5,29.8,2.4,2.1,303,26.6,0,0
-2.8,84.5,29,2.1,1.9,282,21.5,0,0
-3.8,86.1,28.3,2.8,2.7,279,16.3,0,0
-3.2,85,27.7,3.6,3.3,314,20.6,0,0
-3.4,83.6,27,2.9,2.7,329,24,0,0
-3.4,84.2,26.3,3.3,3.3,345,9.4,0,0
-4.2,84.4,25.7,2.6,2.5,348,11.8,0,0
-5.7,84.2,25.2,2.2,1.9,279,30.5,0,0
-4.7,84.2,24.6,2.4,2.3,253,18.4,36.2,0
4,79.3,24.2,1.7,0.9,264,55.2,197,0
9.7,69.5,24.4,2.4,0.9,181,65.1,353.8,0
12,57.6,25.7,3,1.8,141,51.8,461,0
14.3,51.7,27.3,4.8,3.7,154,39.1,609.7,0
16.6,45.1,28.6,6.3,5.2,171,33.4,632.1,0
18.4,40.9,29.3,6.7,5.5,173,33.7,597.7,0
20.2,38.1,29.8,6.6,5.6,146,32.1,535.4,0
21.3,35.1,30.2,8.1,7.5,168,21.8,390.1,0
21.3,36.8,30.4,10.8,10.4,158,15.4,251.6,0
19.1,39.8,30.6,11.2,11.1,170,10.3,70.3,0
15.2,52.3,30.7,8.1,8,161,7.4,0.6,0
10.2,64.7,30.8,6.3,6.3,162,5.8,0,0
7.7,72.3,30.9,5.5,5.5,166,6.5,0,0
11.4,68.5,31,7.4,7.3,161,6.8,0,0
10.9,71.1,30.9,6.9,6.8,160,6.2,0,0
6.5,81.3,30.4,4.8,4.8,156,5,0,0
5.3,84,29.7,5.3,5.3,165,5.4,0,0
5.2,83.8,28.9,6,5.9,162,6.1,0,0
4.7,84.7,28,6.2,6.2,166,6.4,0,0
3.3,87.4,27.2,5.4,5.4,157,8.1,0,0
3.9,89.6,26.5,5.3,5.2,145,9.6,0,0
5.1,91.9,25.8,7.6,7.5,161,7.4,0,0
7.4,92.7,25.3,9.6,9.5,159,7.3,0,0
8,92.3,24.9,7.2,7,166,13.3,16.7,0
9.6,92.3,24.8,7.4,7.3,161,12.5,51.7,0
12.3,92.3,25.1,9.4,9.3,171,9.1,108.8,0
15.1,90.5,25.8,11.5,11.4,176,9.7,194.5,0
16.9,88,26.5,11.3,11.1,179,10.4,217.2,0
18.1,87.3,27.2,10.6,10.4,177,10.7,318.6,0
19.8,85.5,27.9,10.9,10.7,181,12.6,436,0
21,81.9,28.5,11,10.7,186,12.9,389.2,0
20.8,79.4,29.1,9.8,9.6,179,12.9,151,0
20.5,79.3,29.5,9.4,9.2,176,11.4,64.6,0
19.9,81.7,29.7,9.9,9.8,178,8.7,13.2,0
19,86.2,29.7,8.2,8.1,175,7.5,0,0
18.7,86.7,29.7,7.3,7.3,178,8.9,0,0
18.3,88.7,29.6,6.8,6.7,175,8.2,0,0
15.8,91,29.4,5.5,5.5,180,6.7,0,0
12,92.9,29.2,4.8,4.8,176,6.5,0,0
9.6,92.6,28.9,5.1,5.1,193,7.1,0,0
9.3,92.4,28.6,4.3,4.2,194,10.1,0,0
